Nom_Mpio,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Amacuzac,3,2,2,2,2,1,1,1,0,0,0,1,1,1
Atlatlahucan,1,1,1,1,2,2,2,2,1,1,1,1,1,3
Axochiapan,0,0,0,0,0,0,1,1,1,1,1,1,1,0
Ayala,1,2,2,2,2,3,3,3,2,3,3,3,4,5
Coatlán del Río,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Cuautla,1,2,2,2,4,5,5,7,6,6,6,6,7,3
Cuernavaca,3,2,2,3,6,5,6,6,6,6,6,6,6,1
Emiliano Zapata,1,1,2,4,4,4,5,5,4,5,5,4,4,4
Huitzilac,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Jantetelco,0,0,0,2,3,3,1,1,0,0,0,0,0,0
Jiutepec,8,8,8,8,7,6,6,6,6,6,6,6,6,6
Jojutla,0,0,0,0,0,0,1,1,1,1,1,1,2,3
Jonacatepec,0,0,0,0,0,0,0,0,0,1,1,4,4,2
Mazatepec,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miacatlán,0,0,0,0,0,1,1,1,1,1,1,1,1,0
Ocuituco,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Puente de Ixtla,0,0,0,0,0,1,1,1,0,0,1,2,3,1
Temixco,0,0,2,2,2,3,4,4,1,1,1,2,2,2
Tepalcingo,0,0,0,0,0,0,1,1,1,1,1,2,2,2
Tepoztlán,1,1,1,1,1,1,1,1,1,1,1,3,3,3
Tetecala,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tetela del Volcán,0,0,0,0,0,0,0,0,0,1,1,1,1,2
Tlalnepantla,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tlaltizapán de Zapata,1,0,0,0,0,2,2,2,2,2,2,2,2,1
Tlaquiltenango,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tlayacapan,1,0,0,0,0,0,1,1,1,1,1,1,1,1
Totolapan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xochitepec,0,0,2,2,2,2,2,3,2,2,2,2,3,4
Yautepec,2,2,2,2,1,1,1,1,1,1,1,1,1,1
Yecapixtla,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Zacatepec,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Zacualpan de Amilpas,0,0,0,0,1,1,2,2,2,2,2,2,2,2
Temoac,0,0,0,0,0,0,0,0,0,1,1,1,1,1
